,iter,method,num_tweets_tested,num_tweets_predicted_right,real_acc,adj_acc
178,35,MultinomialNB TfidfVectorizer,57,0.0,0.0,0.43
179,35,LinearSVC: C = 0,57,0.0,0.0,0.43
180,36,MultinomialNB CountVectorizer,66,1.0,0.015151515151515152,0.35
181,36,SGDClassifier,66,0.0,0.0,0.34
182,36,PassiveAggressiveClassifier: C = 0.01,66,0.0,0.0,0.34
183,36,MultinomialNB TfidfVectorizer,66,0.0,0.0,0.34
184,36,LinearSVC: C = 0,66,1.0,0.015151515151515152,0.35
185,37,MultinomialNB CountVectorizer,57,1.0,0.017543859649122806,0.44
186,37,SGDClassifier,57,2.0,0.03508771929824561,0.45
187,37,PassiveAggressiveClassifier: C = 0.01,57,1.0,0.017543859649122806,0.44
188,37,MultinomialNB TfidfVectorizer,57,0.0,0.0,0.43
189,37,LinearSVC: C = 0,57,2.0,0.03508771929824561,0.45
190,38,MultinomialNB CountVectorizer,56,1.0,0.017857142857142856,0.45
191,38,SGDClassifier,56,0.0,0.0,0.44
192,38,PassiveAggressiveClassifier: C = 0.01,56,0.0,0.0,0.44
193,38,MultinomialNB TfidfVectorizer,56,0.0,0.0,0.44
194,38,LinearSVC: C = 0,56,0.0,0.0,0.44
195,39,MultinomialNB CountVectorizer,47,2.0,0.0425531914893617,0.55
196,39,SGDClassifier,47,2.0,0.0425531914893617,0.55
197,39,PassiveAggressiveClassifier: C = 0.01,47,2.0,0.0425531914893617,0.55
198,39,MultinomialNB TfidfVectorizer,47,0.0,0.0,0.53
199,39,LinearSVC: C = 0,47,2.0,0.0425531914893617,0.55
200,40,MultinomialNB CountVectorizer,45,2.0,0.044444444444444446,0.57
201,40,SGDClassifier,45,0.0,0.0,0.55
202,40,PassiveAggressiveClassifier: C = 0.01,45,0.0,0.0,0.55
203,40,MultinomialNB TfidfVectorizer,45,0.0,0.0,0.55
204,40,LinearSVC: C = 0,45,1.0,0.022222222222222223,0.56
205,41,MultinomialNB CountVectorizer,48,0.0,0.0,0.52
206,41,SGDClassifier,48,0.0,0.0,0.52
207,41,PassiveAggressiveClassifier: C = 0.01,48,0.0,0.0,0.52
208,41,MultinomialNB TfidfVectorizer,48,0.0,0.0,0.52
209,41,LinearSVC: C = 0,48,0.0,0.0,0.52
210,42,MultinomialNB CountVectorizer,44,0.0,0.0,0.56
211,42,SGDClassifier,44,0.0,0.0,0.56
212,42,PassiveAggressiveClassifier: C = 0.01,44,0.0,0.0,0.56
213,42,MultinomialNB TfidfVectorizer,44,0.0,0.0,0.56
214,42,LinearSVC: C = 0,44,0.0,0.0,0.56
215,43,MultinomialNB CountVectorizer,32,2.0,0.0625,0.7
216,43,SGDClassifier,32,1.0,0.03125,0.69
217,43,PassiveAggressiveClassifier: C = 0.01,32,1.0,0.03125,0.69
218,43,MultinomialNB TfidfVectorizer,32,0.0,0.0,0.68
219,43,LinearSVC: C = 0,32,3.0,0.09375,0.71
220,44,MultinomialNB CountVectorizer,42,0.0,0.0,0.58
221,44,SGDClassifier,42,0.0,0.0,0.58
222,44,PassiveAggressiveClassifier: C = 0.01,42,0.0,0.0,0.58
223,44,MultinomialNB TfidfVectorizer,42,0.0,0.0,0.58
224,44,LinearSVC: C = 0,42,1.0,0.023809523809523808,0.59
225,45,MultinomialNB CountVectorizer,44,1.0,0.022727272727272728,0.57
226,45,SGDClassifier,44,0.0,0.0,0.56
227,45,PassiveAggressiveClassifier: C = 0.01,44,0.0,0.0,0.56
228,45,MultinomialNB TfidfVectorizer,44,0.0,0.0,0.56
229,45,LinearSVC: C = 0,44,0.0,0.0,0.56
230,46,MultinomialNB CountVectorizer,56,3.0,0.05357142857142857,0.47
231,46,SGDClassifier,56,2.0,0.03571428571428571,0.46
232,46,PassiveAggressiveClassifier: C = 0.01,56,2.0,0.03571428571428571,0.46
233,46,MultinomialNB TfidfVectorizer,56,0.0,0.0,0.44
234,46,LinearSVC: C = 0,56,2.0,0.03571428571428571,0.46
235,47,MultinomialNB CountVectorizer,52,2.0,0.038461538461538464,0.5
236,47,SGDClassifier,52,1.0,0.019230769230769232,0.49
237,47,PassiveAggressiveClassifier: C = 0.01,52,0.0,0.0,0.48
238,47,MultinomialNB TfidfVectorizer,52,0.0,0.0,0.48
239,47,LinearSVC: C = 0,52,2.0,0.038461538461538464,0.5
240,48,MultinomialNB CountVectorizer,40,1.0,0.025,0.61
241,48,SGDClassifier,40,0.0,0.0,0.6
242,48,PassiveAggressiveClassifier: C = 0.01,40,0.0,0.0,0.6
243,48,MultinomialNB TfidfVectorizer,40,0.0,0.0,0.6
244,48,LinearSVC: C = 0,40,0.0,0.0,0.6
245,49,MultinomialNB CountVectorizer,48,1.0,0.020833333333333332,0.53
246,49,SGDClassifier,48,1.0,0.020833333333333332,0.53
247,49,PassiveAggressiveClassifier: C = 0.01,48,1.0,0.020833333333333332,0.53
248,49,MultinomialNB TfidfVectorizer,48,0.0,0.0,0.52
249,49,LinearSVC: C = 0,48,1.0,0.020833333333333332,0.53
250,50,MultinomialNB CountVectorizer,41,1.0,0.024390243902439025,0.6
251,50,SGDClassifier,41,0.0,0.0,0.59
252,50,PassiveAggressiveClassifier: C = 0.01,41,0.0,0.0,0.59
253,50,MultinomialNB TfidfVectorizer,41,0.0,0.0,0.59
254,50,LinearSVC: C = 0,41,1.0,0.024390243902439025,0.6
255,51,MultinomialNB CountVectorizer,50,1.0,0.02,0.5148514851485149
256,51,SGDClassifier,50,0.0,0.0,0.504950495049505
257,51,PassiveAggressiveClassifier: C = 0.01,50,0.0,0.0,0.504950495049505
258,51,MultinomialNB TfidfVectorizer,50,0.0,0.0,0.504950495049505
259,51,LinearSVC: C = 0,50,0.0,0.0,0.504950495049505
260,52,MultinomialNB CountVectorizer,40,0.0,0.0,0.6
261,52,SGDClassifier,40,0.0,0.0,0.6
262,52,PassiveAggressiveClassifier: C = 0.01,40,0.0,0.0,0.6
263,52,MultinomialNB TfidfVectorizer,40,0.0,0.0,0.6
264,52,LinearSVC: C = 0,40,1.0,0.025,0.61
265,53,MultinomialNB CountVectorizer,39,0.0,0.0,0.61
266,53,SGDClassifier,39,1.0,0.02564102564102564,0.62
267,53,PassiveAggressiveClassifier: C = 0.01,39,1.0,0.02564102564102564,0.62
268,53,MultinomialNB TfidfVectorizer,39,0.0,0.0,0.61
269,53,LinearSVC: C = 0,39,1.0,0.02564102564102564,0.62
270,54,MultinomialNB CountVectorizer,34,1.0,0.029411764705882353,0.67
271,54,SGDClassifier,34,0.0,0.0,0.66
272,54,PassiveAggressiveClassifier: C = 0.01,34,0.0,0.0,0.66
273,54,MultinomialNB TfidfVectorizer,34,0.0,0.0,0.66
274,54,LinearSVC: C = 0,34,0.0,0.0,0.66
275,55,MultinomialNB CountVectorizer,50,1.0,0.02,0.51
276,55,SGDClassifier,50,3.0,0.06,0.53
277,55,PassiveAggressiveClassifier: C = 0.01,50,0.0,0.0,0.5
278,55,MultinomialNB TfidfVectorizer,50,0.0,0.0,0.5
279,55,LinearSVC: C = 0,50,1.0,0.02,0.51
280,56,MultinomialNB CountVectorizer,44,1.0,0.022727272727272728,0.57
281,56,SGDClassifier,44,0.0,0.0,0.56
282,56,PassiveAggressiveClassifier: C = 0.01,44,0.0,0.0,0.56
283,56,MultinomialNB TfidfVectorizer,44,0.0,0.0,0.56
284,56,LinearSVC: C = 0,44,0.0,0.0,0.56
285,57,MultinomialNB CountVectorizer,31,0.0,0.0,0.69
286,57,SGDClassifier,31,0.0,0.0,0.69
287,57,PassiveAggressiveClassifier: C = 0.01,31,0.0,0.0,0.69
288,57,MultinomialNB TfidfVectorizer,31,0.0,0.0,0.69
289,57,LinearSVC: C = 0,31,0.0,0.0,0.69
290,58,MultinomialNB CountVectorizer,40,2.0,0.05,0.62
291,58,SGDClassifier,40,1.0,0.025,0.61
292,58,PassiveAggressiveClassifier: C = 0.01,40,1.0,0.025,0.61
293,58,MultinomialNB TfidfVectorizer,40,0.0,0.0,0.6
294,58,LinearSVC: C = 0,40,2.0,0.05,0.62
295,59,MultinomialNB CountVectorizer,46,1.0,0.021739130434782608,0.55
296,59,SGDClassifier,46,0.0,0.0,0.54
297,59,PassiveAggressiveClassifier: C = 0.01,46,0.0,0.0,0.54
298,59,MultinomialNB TfidfVectorizer,46,0.0,0.0,0.54
299,59,LinearSVC: C = 0,46,1.0,0.021739130434782608,0.55
300,60,MultinomialNB CountVectorizer,61,0.0,0.0,0.39
301,60,SGDClassifier,61,0.0,0.0,0.39
302,60,PassiveAggressiveClassifier: C = 0.01,61,0.0,0.0,0.39
303,60,MultinomialNB TfidfVectorizer,61,0.0,0.0,0.39
304,60,LinearSVC: C = 0,61,0.0,0.0,0.39
305,61,MultinomialNB CountVectorizer,51,3.0,0.058823529411764705,0.52
306,61,SGDClassifier,51,0.0,0.0,0.49
307,61,PassiveAggressiveClassifier: C = 0.01,51,0.0,0.0,0.49
308,61,MultinomialNB TfidfVectorizer,51,0.0,0.0,0.49
309,61,LinearSVC: C = 0,51,1.0,0.0196078431372549,0.5
310,62,MultinomialNB CountVectorizer,60,0.0,0.0,0.4
311,62,SGDClassifier,60,0.0,0.0,0.4
312,62,PassiveAggressiveClassifier: C = 0.01,60,0.0,0.0,0.4
313,62,MultinomialNB TfidfVectorizer,60,0.0,0.0,0.4
314,62,LinearSVC: C = 0,60,1.0,0.016666666666666666,0.41
315,63,MultinomialNB CountVectorizer,62,3.0,0.04838709677419355,0.41
316,63,SGDClassifier,62,0.0,0.0,0.38
317,63,PassiveAggressiveClassifier: C = 0.01,62,0.0,0.0,0.38
318,63,MultinomialNB TfidfVectorizer,62,0.0,0.0,0.38
319,63,LinearSVC: C = 0,62,2.0,0.03225806451612903,0.4
320,64,MultinomialNB CountVectorizer,62,3.0,0.04838709677419355,0.41
321,64,SGDClassifier,62,1.0,0.016129032258064516,0.39
322,64,PassiveAggressiveClassifier: C = 0.01,62,1.0,0.016129032258064516,0.39
323,64,MultinomialNB TfidfVectorizer,62,0.0,0.0,0.38
324,64,LinearSVC: C = 0,62,3.0,0.04838709677419355,0.41
325,65,MultinomialNB CountVectorizer,58,4.0,0.06896551724137931,0.46
326,65,SGDClassifier,58,2.0,0.034482758620689655,0.44
327,65,PassiveAggressiveClassifier: C = 0.01,58,1.0,0.017241379310344827,0.43
328,65,MultinomialNB TfidfVectorizer,58,0.0,0.0,0.42
329,65,LinearSVC: C = 0,58,2.0,0.034482758620689655,0.44
330,66,MultinomialNB CountVectorizer,73,3.0,0.0410958904109589,0.3
331,66,SGDClassifier,73,2.0,0.0273972602739726,0.29
332,66,PassiveAggressiveClassifier: C = 0.01,73,1.0,0.0136986301369863,0.28
333,66,MultinomialNB TfidfVectorizer,73,0.0,0.0,0.27
334,66,LinearSVC: C = 0,73,3.0,0.0410958904109589,0.3
335,67,MultinomialNB CountVectorizer,70,3.0,0.04285714285714286,0.33
336,67,SGDClassifier,70,2.0,0.02857142857142857,0.32
337,67,PassiveAggressiveClassifier: C = 0.01,70,0.0,0.0,0.3
338,67,MultinomialNB TfidfVectorizer,70,0.0,0.0,0.3
339,67,LinearSVC: C = 0,70,3.0,0.04285714285714286,0.33
340,68,MultinomialNB CountVectorizer,65,3.0,0.046153846153846156,0.38
341,68,SGDClassifier,65,3.0,0.046153846153846156,0.38
342,68,PassiveAggressiveClassifier: C = 0.01,65,2.0,0.03076923076923077,0.37
343,68,MultinomialNB TfidfVectorizer,65,0.0,0.0,0.35
344,68,LinearSVC: C = 0,65,3.0,0.046153846153846156,0.38
345,69,MultinomialNB CountVectorizer,50,2.0,0.04,0.52
346,69,SGDClassifier,50,0.0,0.0,0.5
347,69,PassiveAggressiveClassifier: C = 0.01,50,0.0,0.0,0.5
348,69,MultinomialNB TfidfVectorizer,50,0.0,0.0,0.5
349,69,LinearSVC: C = 0,50,1.0,0.02,0.51
350,70,MultinomialNB CountVectorizer,47,5.0,0.10638297872340426,0.58
351,70,SGDClassifier,47,2.0,0.0425531914893617,0.55
352,70,PassiveAggressiveClassifier: C = 0.01,47,1.0,0.02127659574468085,0.54
353,70,MultinomialNB TfidfVectorizer,47,0.0,0.0,0.53
354,70,LinearSVC: C = 0,47,2.9999999999999996,0.06382978723404255,0.56
355,71,MultinomialNB CountVectorizer,55,3.0,0.05454545454545454,0.48
356,71,SGDClassifier,55,2.0,0.03636363636363636,0.47
357,71,PassiveAggressiveClassifier: C = 0.01,55,1.0,0.01818181818181818,0.46
358,71,MultinomialNB TfidfVectorizer,55,0.0,0.0,0.45
359,71,LinearSVC: C = 0,55,4.0,0.07272727272727272,0.49
360,72,MultinomialNB CountVectorizer,48,0.0,0.0,0.52
361,72,SGDClassifier,48,0.0,0.0,0.52
362,72,PassiveAggressiveClassifier: C = 0.01,48,0.0,0.0,0.52
363,72,MultinomialNB TfidfVectorizer,48,0.0,0.0,0.52
364,72,LinearSVC: C = 0,48,0.0,0.0,0.52
365,73,MultinomialNB CountVectorizer,47,2.0,0.0425531914893617,0.55
366,73,SGDClassifier,47,1.0,0.02127659574468085,0.54
367,73,PassiveAggressiveClassifier: C = 0.01,47,1.0,0.02127659574468085,0.54
368,73,MultinomialNB TfidfVectorizer,47,0.0,0.0,0.53
369,73,LinearSVC: C = 0,47,1.0,0.02127659574468085,0.54
370,74,MultinomialNB CountVectorizer,46,0.0,0.0,0.54
371,74,SGDClassifier,46,0.0,0.0,0.54
372,74,PassiveAggressiveClassifier: C = 0.01,46,0.0,0.0,0.54
373,74,MultinomialNB TfidfVectorizer,46,0.0,0.0,0.54
374,74,LinearSVC: C = 0,46,1.0,0.021739130434782608,0.55
375,75,MultinomialNB CountVectorizer,44,1.0,0.022727272727272728,0.57
376,75,SGDClassifier,44,0.0,0.0,0.56
377,75,PassiveAggressiveClassifier: C = 0.01,44,0.0,0.0,0.56
378,75,MultinomialNB TfidfVectorizer,44,0.0,0.0,0.56
379,75,LinearSVC: C = 0,44,1.0,0.022727272727272728,0.57
380,76,MultinomialNB CountVectorizer,54,0.0,0.0,0.46
381,76,SGDClassifier,54,0.0,0.0,0.46
